"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"(Intercept)",-16.364605949204,-27.5398717907933,-10.6498767853925,-8.31682753159693,-5.40025054223298,15.7610599441879,-150.308511419123,-1.97005633348444,-12.0640454522758,-14.4939930221885,-5.69972801224118,-9.1580212537238,1.67508000251532,0.666665065717363,-5.06747151322134,-10.162061409136,5.0819087891166,-0.281891212325932,-14.8361762085078,-9.81345001883701,8.4417368445293,0.556487465728377,7.03631927113048,-37.0048430909142,-11.2933534717621,2.31115197796594,-16.5289879988001,-5.26350773789385,-8.39929265511243,1.10777271046002,-1.71430721388773,-16.0078813435464,-48.9699098017546,-26.1820670053726,-17.6502037437216,-2.68028806805345,13.2853831570778,-2.05666812714944,-5.42060531067106,-7.02091325107287,-8.9608073218556,-7.90572265104488,2.05409279557351,-0.692506197005791,-3.64236752688258,-0.915866543370376,-15.3619057320571,-11.5365570032755,-14.1259811987594,-27.8336911630247,-4.11180658045653,-19.1367186402457,-3.32891189378576,-28.2109757667276,-6.08877390154203,-6.72887196634133,-9.87223089628922,-13.2410908270782,-6.23015511868233,-27.6131898653372,-12.712242129419,-0.646482616980026,-20.2802279356454,45.5221369036077,-19.2770861942224,-5.87768095392479,-5.38824355081169,-11.3740720219801,0.544184607563952,-12.710187666471,-2.07826333128887,-2.28780855057296,-5.66621884526801,-4.15420465168558,6.80413067167671,-30.5982032496015,-0.761162651269015,-48.1354609580287,7.97985975468849,-9.10714851231154,-0.291836458343352,-9.64855387928177,-5.29561299576745,-2.22723919928474,1.66921010317572,-7.57040453504128,-3.67166332086395,-18.0045177706881,-3.2608937529048,-40.2139931574703,-22.7339312046632,-13.6602966843807,-15.215699568438,12.2859232447221,-4.54367587111556,-5.75489489341266,5.4212530233598,19.184956036004,-17.0231732312601,-7.1119403181102
"latgroupNS",12.2035005608123,15.1905171829557,4.63933768332523,2.21508193677068,2.19808786494184,-21.2172507860103,146.332849155401,-8.21454031606684,2.75161718110285,10.5901663741588,-1.01071322940289,1.00400760288028,-8.36487912438481,-6.78710292000953,-0.435293331084805,-2.6050744259418,-14.8126963720715,-5.16752092627799,8.00016051827555,0.687929591192104,-15.4059333835739,-7.85672464303435,-11.5269757408104,28.3356732845823,5.82147792999421,-13.3244587468827,7.06854803268655,-1.98811300890002,-0.545462993570773,-4.29220396661224,-6.90704765472908,3.57407401823887,34.6392002825137,11.2684837502033,9.17966134825752,-6.58015650845043,-20.5965486059718,-1.82192237171475,-2.2037712566293,-3.43572497105036,0.998286542600123,3.69267743153061,-7.79643729760673,-7.95010143843931,-2.78653808783506,-8.03186555017058,10.1705303799153,5.66550742130275,8.52493199500735,22.4567926517733,-2.49341186575882,6.85935051769035,-1.8521150226801,22.8875850446486,-2.93997256970802,-6.6812592413537,0.724790260033358,4.35433089753436,-0.648244402917591,20.7609581996951,4.12949016352897,-3.75729710641683,17.0659014449365,-62.5079516393912,12.1100058158597,-1.23504709105574,2.47002336751385,-0.812810960888693,-9.18390307471788,4.82248388466137,-3.23440425148744,-11.1299408812077,3.06000623836975,-1.23380765520847,-12.1178027881034,24.3590624708564,-5.10838235064112,37.483912378796,-18.3302523009498,3.60610235517859,-10.158524929054,-2.80992401434127,0.47456417297679,-4.18486604158547,-4.96266346425586,3.62712628819456,-6.97237470880321,11.4022224880012,-1.7877064981746,28.0289632366748,12.5559732560903,6.89821130578644,3.75689586389381,-17.0454974598168,-7.63732622275605,-4.07329458459499,-18.0907041532077,-31.4879911010399,9.24130859796646,-5.30550540171111
"s(meantemp.s):latgroupNN.1",-8.04818083656981,1.32272009225588,-3.39809836932461,-19.5225518442949,17.5022030649798,149.098145420714,4.64150577789605,9.04478301417666,17.6363260824994,152.037591211369,5.82088361228078,7.02997686073326,14.579170058724,9.56244400245563,-2.76154978811572,10.2934281170216,92.7332704896076,54.8656065087239,26.2532062997564,48.0655839656042,1.70428731750546,21.6057004920755,-1.38712653472237,36.3892120011925,8.91452017463469e-06,-2.09677456203172e-05,216.335958252131,-3.69535315926228,0.0331378502165887,11.435756102842,-1.6352738812268,18.4206359011048,-40.8433878099778,398.417058375296,-5.96160428953343,19.4057736091967,234.390835658654,-1.37728501796931,-1.45726377767903,4.71478207591204,4.84713225065078,-1.10436160617782,24.3643648796336,61.4346234504733,28.6771516272105,23.3877637357032,62.7975987728949,4.5070577485064,20.4609043563467,32.5231796018489,180.335215207674,54.5694449628353,-0.773154087457254,-4.94613418162176,27.3522140804682,68.9267754303308,1.34884615346559,-4.87145416165984,0.0381252298749871,0,0,63.5627137199051,35.3815650003996,1247.85933671971,-2.80487612413812,66.8959441304646,21.3259296254634,-3.84272519721166,57.4517473966947,47.4462173051121,72.4996054050003,112.500787780486,-13.9265079378282,3.31112795388157,76.8518868258814,14.643545835782,6.32273673078256,478.253162074586,45.251922362404,19.3108534173089,9.6229065865302,1.00114750491364,10.3667858050514,4.46047721185906,51.9200979411447,-4.37078281694471,16.2672393775917,3.51772996354441,15.3606281431117,6.20087351483444,44.623538158662,1.8053951397341,76.9754834840676,2.05567389719141,96.4845420613663,27.2308487988292,145.46976267231,54.1022344734551,23.2258022031835,-3.50077691052883
"s(meantemp.s):latgroupNN.2",-3.18502051225722,-0.513143104637311,-3.15303176382266,-16.5009431434112,8.2658703644587,105.547228266052,-12.3539268504049,10.6688600987109,14.4715477452998,94.8156230661549,4.76568819927547,9.21477757536413,13.31257671186,9.78991402076237,-3.01531131209313,6.05287895867735,60.4086445913916,36.121052899066,16.3816119586899,34.8672321315682,3.66581431787499,17.429769704777,2.65376998554647,35.5193155937681,7.74221238042863e-06,-4.55885046468318e-05,162.753132359394,-1.79735872351529,0.0242828341549326,8.6696203514659,2.36898560302666,10.8866242035644,-30.4580785791725,280.672838896465,-4.14174321481368,11.7722270483328,145.156618848182,1.85884735994795,-1.53779939250674,3.05191374868135,7.19901615855833,0.925643280339446,18.7687313869788,41.0719162267927,22.1406286756118,20.1473693659633,44.6030634534754,3.61381353595916,15.4656933370671,17.3003635989597,132.33863480545,36.8284807898771,-0.54178279418214,-2.92210169196341,13.3461047718345,38.5556401614218,0.995045405855195,-4.04645305350592,0.44469827834658,0,0,47.8272246298008,23.6765285512191,870.456024705288,0.296066714290684,56.9301396196382,14.617798483747,0.851413968902959,37.0460420225901,37.8462561405393,61.0298704357598,82.455077274095,-9.74245918091313,3.46541576900115,55.1064686170744,12.5273651068949,5.09715743480854,371.01857038362,27.154175924479,14.6428614903557,5.85696723728335,-2.44272499926812,13.2107876873255,3.36750184326027,31.0954195757043,-2.91488194535728,12.9243045921293,3.33942044292634,10.0226359785653,6.89615370506638,35.1551889423892,0.79358064026313,40.297737368484,11.825953851143,60.8499358659174,22.1004991469136,116.666688955644,39.9657227193334,20.6262380739019,-0.351260811294591
"s(meantemp.s):latgroupNN.3",-7.49077833858151,-3.79461954257134,-3.46323872483782,29.5667016486715,5.48640311125756,61.7554999073932,-51.6096268143031,-10.3584941816807,-0.657380694013138,40.2655126220939,-9.67788174671418,-28.5213170284599,-25.3275541262275,2.90107475912422,7.88811510071514,21.4395279418672,12.6610232332078,22.54139431646,-20.3826382711142,23.839300310472,-16.2794440549076,5.32720174982947,1.64140076450167,-16.9392996664892,1.31276362039009e-05,-0.000117642982616435,-110.763339728993,-11.8555629492186,0.00124761536006928,-2.27309357414343,-37.0083783872256,-16.1906383051552,31.1107886124263,71.4797897804242,-1.73145532908227,-7.11442981164605,88.6315390896277,-13.5381212756655,22.8108860529096,2.51527520784291,-5.24192285780837,-4.11035430572374,5.2927528287802,3.44917305272165,4.92490745037178,-2.21675263628082,-27.0048320173293,-5.30144912311878,14.1870787105247,19.8200801851698,16.1128910022326,45.7035866081612,-27.3513985530104,0.654692108758582,22.4296382134822,-18.3827198287364,-13.1213130683591,4.63536947566684,-2.09476938590505,0,0,21.9687697862356,-1.73558135666966,508.181351733031,-13.7845192617653,16.2253544179274,5.63585193211722,-38.7706651528955,39.2838882924324,5.12757565182008,7.0528513850997,35.9710440788117,21.4851861530407,53.1356359690161,9.26201145934203,-13.220311140628,-4.59558751243787,235.137017077903,19.6423061735563,-3.74935072891141,-12.3135777704351,128.256151027254,-62.8022519605334,0.83329866954951,19.825165865711,0.582754011961289,7.89368993241781,4.24668542557438,19.670025355496,6.0282471690229,98.5121568262019,-2.81631256694919,59.5592117985326,-31.88309881458,3.87178086069895,-7.83391529342004,4.83297828147424,26.6590972378964,12.1417852045795,-20.5610577811985
"s(meantemp.s):latgroupNS.1",3.01477473702605,5.95996769970972,-3.69469849789905,0.597989229401723,-1.26786944730193,16.6986281033429,-10.2150992579019,-20.4745075655113,23.6106700231168,5.94695487145784,-4.97946770917943,-4.0187017643436,-11.2575261032759,-3.84966177308687,3.86567484699641,41.74530956621,-13.0498151564447,2.71413799011228,-24.719535401892,3.29789697066529,14.8053798955111,16.9423330573593,-2.36140383341395,14.6990140190184,9.83131601302355,-8.54003869801116,21.972060256659,5.77856923265379,3.32132982283161,11.4130603160733,33.4443963963725,19.0234359669452,-13.2280982224564,7.18149146712695,10.3563001577004,1.67600817077216,0.452054109251098,2.58893374833737,-7.71183344743932,42.2636790772015,6.89211509133,12.5087667323927,17.3066328049284,-15.2538484436934,2.15028265364305,20.5925388336328,-7.70555439882071,-5.94486604852082,8.25397628844489,-7.73450657554968,-17.2582214121794,6.40986201696605,0.341012111923616,8.30168599797768,-0.871573805943892,-22.9532242277893,1.19524558063076,11.5644586273587,4.46832672359101,-14.9537939959582,-11.652080061746,-1.87855066299123,-7.61579358968932,11.685323373261,0.383087046236547,6.1366349500123,-0.286479756401622,-10.3949248582562,-4.50797853155118,2.28252030761426,14.1101075460393,5.98624769575361,0.549913180425889,5.8500836216413,-7.91465149237329,-14.6330258192351,6.4810650243408,-2.89333230971803,-0.869129657381617,3.53653648366239,-9.91319651795602,5.79244338578545,-3.88013470118905,11.7921829347524,1.49470005836842,-8.21724942435307,15.3372898121637,-10.7532629152732,4.17148042052411,24.215927975983,-1.14227416367089,-11.6453120871206,9.46900153663385,-1.23046152948518,6.28455878503375,-5.09271478695441,-9.01706110675409,30.1031775837558,-9.58333121421089,-9.63204736660344
"s(meantemp.s):latgroupNS.2",1.44747902803872,3.73034756580638,-2.61125131645593,0.4229507977709,-0.982075680195386,11.5351193995394,-5.2435722077585,-12.583435877936,19.7566892912294,3.78159907219421,-3.3564392792917,-2.05146160997969,-6.63119215078288,-2.38445477498422,2.28443974162021,29.4537032063603,-7.3931924387206,2.81112416099431,-14.8239129283667,1.94273601396407,9.48780848376751,13.7241746303953,-1.9579096635515,11.201543293458,5.26846388408002,-5.67898991841511,15.4183529804756,4.39282395054532,2.10577090542965,6.99827934034072,17.9862801871987,9.91225548735847,-10.2610311101127,4.04037626757846,7.07827181755742,1.29998042765854,0.471040480090703,1.95413996639728,-5.95319436683978,25.9400474967688,5.28009123942196,9.76639449260717,11.1604532455861,-8.88879037409728,2.19716862249531,15.9123784325167,-3.66546391531447,-2.85489907230073,5.31200692441983,-4.12600348447615,-9.66418657799622,6.86346139848802,0.760283297137817,4.6468150227999,0.743540301872417,-11.3236394512624,1.33366679452823,8.7179387425549,3.10392436515001,-8.97028622252537,-7.01737662894703,-1.68393443466193,-5.17202968323923,8.00842460391653,0.805055605255872,4.50291547258338,0.0110605226109446,-7.1863879942912,-2.61215343519625,1.63614570085965,10.2373636644406,6.05991707353616,0.808777878095215,3.94165680873561,-5.15678659297499,-8.9667764825165,3.59363218398143,-1.54232709534728,-0.10254460958174,3.61929476058316,-6.5908777926626,3.24176877513414,-2.51979583822314,6.27507360889082,0.794647147344845,-5.61914133816602,11.7750767256121,-6.48045342830573,3.49549463399371,18.6730442764731,-1.23485693944709,-7.20431854121411,5.61698407375868,-1.36364639741141,2.79408258832835,-2.5917635818832,-6.5764028897484,18.8406880997058,-5.4481758585762,-7.26604370501036
"s(meantemp.s):latgroupNS.3",3.29994770936059,-8.67185910497809,-4.32176681995019,-7.87727485017807,-1.43208162562718,9.89774153961868,-9.7315551970418,-5.1013208953272,-3.20075629104564,-6.65741888661821,1.19928353357956,-3.75487532965402,-1.79387641753774,4.7449628861054,1.30872957370788,-7.44226458011273,-4.77541275038047,-12.235142191353,-10.5448914527554,6.16244750969648,6.35100500593014,-1.15220566920247,-5.20236649437095,0.0742587876442506,-1.7202181572336,-3.84618768245578,7.44426705772547,-0.357419121454622,-0.129865846499015,8.35934385002224,1.37788800480462,2.53388225788126,2.1026324734939,7.30536649470816,0.161912643421946,-12.0555210245276,0.905417977987263,5.42683319495622,4.86993277257473,0.609672305741128,-3.3079667814875,6.75261893114831,1.97812377625293,-6.27097761993623,1.76700787238625,-2.14582390247807,-6.13722583639638,-3.77233640425047,4.96325169648792,-4.47083809183558,-5.05291621803092,-2.40020870342263,-5.82971231585865,-5.21056610921458,0.755392295996463,-6.62657010922138,-7.11474994967778,11.0826261815096,-1.48164121846151,-11.0067514130944,-21.0019553253918,0.618373205735998,-2.59071888763506,-4.12580219968257,-0.923061726513474,1.37004619715446,-2.38257543455946,-19.5687370438889,-1.170025000797,-2.94605230777201,3.31936969358588,6.78104443763764,3.25522586873243,3.74014094254946,-1.38170548744599,-4.85842752057502,-2.05464923528302,-7.86792866745112,-1.00623272442943,-21.8796708961237,-3.00078206200121,-2.48737445387975,2.13260121988473,0.18608951352222,-0.161855506339346,2.25002443506528,2.63679706590516,-4.80632872648784,-3.97554641920624,1.90450553274825,-4.40327478571083,-8.87946700111011,-5.03209538062158,-2.59834216808267,-7.55030904344908,-5.67889207709658,2.0170874054464,21.9054368363987,-20.0638602714926,2.31181113069284
"s(ordinal.s):latgroupNN.1",6.76891699663163,15.7507117080484,10.7061093028218,20.2393035417693,7.76356625128739,2.61682225402699,90.130961912741,11.0795310785033,5.57511173571111,3.92056219351949,2.51558853286421,7.40693443525847,3.59990149216833,-0.189547713540535,7.52803680726031,2.64127263509299,-11.3253402565584,4.92822718752767,28.2683727888884,10.123364019494,-1.88390215994829,-0.441461905893586,-8.72483899695019,19.5180229330229,11.9363847392951,2.77297058294813,12.4602441771901,4.25593798053844,6.14018449924152,1.12151130043671,-2.15030215550216,1.82263740883044,27.6331610215215,-27.7925562611542,5.63699914704512,4.1720541559149,-7.53046021957584,0.331255108918806,2.00510367427816,0.81978897023003,2.01733185436715,3.6728925473245,10.3960629148348,3.64947297547342,-3.34557463511638,2.38005962097362,2.76364010324512,-1.62921661581699,5.45902884859409,15.3663825682951,-5.08304032630147,2.21004697993602,5.82247150179174,6.01258344504091,5.98741860135268,1.18779343825777,4.83790333268746,7.15367585087604,0.686683115468214,6.42005712762094,9.73194125538428,-6.06890050213915,9.4443825375878,-37.26780768233,1.01254805362134,-0.264311481368246,-0.0446398120669553,2.32978487380909,2.30368083444157,-3.86864935880863,-0.90761520827181,20.4382850497687,18.9605206668928,0.577885380933331,-3.68334725192681,12.1639824556742,2.12348516321504,-1.9648195172723,-3.50614347011214,-0.0532288907195519,25.8029213652453,9.82782461548179,0.821473359132416,2.57019832984047,3.6240730252211,8.58257673003709,1.66593640279197,8.60606099484386,4.38915179483005,13.3642205544142,11.004398692565,2.7058946389539,6.59243151752008,8.72433066389638,-2.39692490570508,0.116250598564857,-7.16761309777245,-4.56759424187513,-3.17691315792786,-0.752964657388294
