"","X","samplenum","duration","meanprobdetection","AUC"
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.10min.int.csv",1,1,600,0.0869565217391304,0.595238095238095
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.11min.int.csv",1,1,660,0.130434782608696,0.9
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.12min.int.csv",1,1,720,0.217391304347826,0.5
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.13min.int.csv",1,1,780,0.130434782608696,0.825
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.14min.int.csv",1,1,840,0.0869565217391304,0.714285714285714
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.15min.int.csv",1,1,900,0.217391304347826,0.766666666666667
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.16min.int.csv",1,1,960,0.130434782608696,0.691666666666667
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.17min.int.csv",1,1,1020,0.217391304347826,0.775
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.18min.int.csv",1,1,1080,0.173913043478261,0.775
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.19min.int.csv",1,1,1140,0,0.775
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.1hour.int.csv",1,1,3600,0.260869565217391,0.897058823529412
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.1min.int.csv",1,1,60,0.0869565217391304,0.727272727272727
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.20min.int.csv",1,1,1200,0.0434782608695652,0.727272727272727
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.2min.int.csv",1,1,120,0.0434782608695652,1
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.3min.int.csv",1,1,180,0.0869565217391304,0.976190476190476
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.4min.int.csv",1,1,240,0.0869565217391304,0.952380952380952
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.5min.int.csv",1,1,300,0.217391304347826,0.844444444444444
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.6min.int.csv",1,1,360,0.260869565217391,0.583333333333333
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.7min.int.csv",1,1,420,0.0434782608695652,0.916666666666667
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.8min.int.csv",1,1,480,0.0869565217391304,0.928571428571429
"auc_meandetectionprobSampled_1_Intervals.TempSunMoonBoomDetections.9min.int.csv",1,1,540,0.217391304347826,0.85
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.10min.int.csv",1,12,600,0.142857142857143,0.654423018059382
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.11min.int.csv",1,12,660,0.125541125541126,0.654831000341414
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.12min.int.csv",1,12,720,0.142857142857143,0.668732782369146
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.13min.int.csv",1,12,780,0.0995670995670996,0.611622073578595
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.14min.int.csv",1,12,840,0.151515151515152,0.72536443148688
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.15min.int.csv",1,12,900,0.138528138528139,0.730213567839196
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.16min.int.csv",1,12,960,0.181818181818182,0.638070042831948
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.17min.int.csv",1,12,1020,0.151515151515152,0.623979591836735
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.18min.int.csv",1,12,1080,0.181818181818182,0.687200806248425
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.19min.int.csv",1,12,1140,0.181818181818182,0.716301335348954
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.1hour.int.csv",1,12,3600,0.29004329004329,0.662449945394976
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.1min.int.csv",1,12,60,0.0216450216450216,0.730088495575221
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.20min.int.csv",1,12,1200,0.19047619047619,0.693911035488576
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.2min.int.csv",1,12,120,0.0606060606060606,0.647300855826201
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.3min.int.csv",1,12,180,0.103896103896104,0.648852657004831
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.4min.int.csv",1,12,240,0.0606060606060606,0.5
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.5min.int.csv",1,12,300,0.108225108225108,0.685728155339806
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.6min.int.csv",1,12,360,0.121212121212121,0.601600985221675
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.7min.int.csv",1,12,420,0.103896103896104,0.61694847020934
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.8min.int.csv",1,12,480,0.12987012987013,0.70771144278607
"auc_meandetectionprobSampled_12_Intervals.TempSunMoonBoomDetections.9min.int.csv",1,12,540,0.147186147186147,0.630785309047477
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.10min.int.csv",1,16,600,0.107142857142857,0.620661157024793
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.11min.int.csv",1,16,660,0.136363636363636,0.665995345506624
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.12min.int.csv",1,16,720,0.116883116883117,0.618719362745098
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.13min.int.csv",1,16,780,0.159090909090909,0.705302970609093
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.14min.int.csv",1,16,840,0.149350649350649,0.729754397610355
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.15min.int.csv",1,16,900,0.11038961038961,0.717904680120223
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.16min.int.csv",1,16,960,0.178571428571429,0.765720445562343
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.17min.int.csv",1,16,1020,0.178571428571429,0.611174991016888
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.18min.int.csv",1,16,1080,0.152597402597403,0.72601288008478
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.19min.int.csv",1,16,1140,0.188311688311688,0.749103448275862
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.1hour.int.csv",1,16,3600,0.311688311688312,0.641804245283019
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.1min.int.csv",1,16,60,0.0454545454545455,0.679178814382896
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.20min.int.csv",1,16,1200,0.152597402597403,0.703839569576914
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.2min.int.csv",1,16,120,0.0551948051948052,0.709621993127148
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.3min.int.csv",1,16,180,0.0909090909090909,0.594961734693878
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.4min.int.csv",1,16,240,0.0779220779220779,0.5
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.5min.int.csv",1,16,300,0.0811688311688312,0.683816254416961
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.6min.int.csv",1,16,360,0.12987012987013,0.595009328358209
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.7min.int.csv",1,16,420,0.0876623376623377,0.651047844998023
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.8min.int.csv",1,16,480,0.133116883116883,0.64583904266009
"auc_meandetectionprobSampled_16_Intervals.TempSunMoonBoomDetections.9min.int.csv",1,16,540,0.123376623376623,0.69093567251462
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.10min.int.csv",1,2,600,0.130434782608696,0.7
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.11min.int.csv",1,2,660,0.130434782608696,0.722916666666667
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.12min.int.csv",1,2,720,0.195652173913043,0.8003003003003
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.13min.int.csv",1,2,780,0.0869565217391304,0.482142857142857
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.14min.int.csv",1,2,840,0.130434782608696,0.74375
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.15min.int.csv",1,2,900,0.152173913043478,0.63003663003663
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.16min.int.csv",1,2,960,0.130434782608696,0.5
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.17min.int.csv",1,2,1020,0.173913043478261,0.784539473684211
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.18min.int.csv",1,2,1080,0.108695652173913,0.5
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.19min.int.csv",1,2,1140,0.217391304347826,0.809722222222222
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.1hour.int.csv",1,2,3600,0.260869565217391,0.718137254901961
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.1min.int.csv",1,2,60,0,0.718137254901961
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.20min.int.csv",1,2,1200,0.217391304347826,0.694444444444444
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.2min.int.csv",1,2,120,0.0869565217391304,0.93452380952381
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.3min.int.csv",1,2,180,0,0.93452380952381
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.4min.int.csv",1,2,240,0.0652173913043478,0.5
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.5min.int.csv",1,2,300,0.130434782608696,0.7625
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.6min.int.csv",1,2,360,0.0652173913043478,0.717054263565891
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.7min.int.csv",1,2,420,0.0652173913043478,0.562015503875969
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.8min.int.csv",1,2,480,0.108695652173913,0.802439024390244
"auc_meandetectionprobSampled_2_Intervals.TempSunMoonBoomDetections.9min.int.csv",1,2,540,0.0652173913043478,0.615384615384615
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.10min.int.csv",1,20,600,0.14025974025974,0.640119726977733
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.11min.int.csv",1,20,660,0.135064935064935,0.675560175560176
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.12min.int.csv",1,20,720,0.150649350649351,0.576531688284298
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.13min.int.csv",1,20,780,0.18961038961039,0.602959255356516
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.14min.int.csv",1,20,840,0.142857142857143,0.680881542699724
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.15min.int.csv",1,20,900,0.158441558441558,0.61887775753896
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.16min.int.csv",1,20,960,0.137662337662338,0.720845646737895
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.17min.int.csv",1,20,1020,0.176623376623377,0.680181851920579
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.18min.int.csv",1,20,1080,0.168831168831169,0.684519230769231
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.19min.int.csv",1,20,1140,0.14025974025974,0.761105516392525
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.1hour.int.csv",1,20,3600,0.285714285714286,0.655834710743802
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.1min.int.csv",1,20,60,0.0233766233766234,0.699320330969267
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.20min.int.csv",1,20,1200,0.153246753246753,0.638166787979619
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.2min.int.csv",1,20,120,0.0753246753246753,0.597927160015498
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.3min.int.csv",1,20,180,0.0883116883116883,0.66821685939333
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.4min.int.csv",1,20,240,0.103896103896104,0.637971014492754
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.5min.int.csv",1,20,300,0.0935064935064935,0.616006049028972
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.6min.int.csv",1,20,360,0.0857142857142857,0.712035123966942
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.7min.int.csv",1,20,420,0.12987012987013,0.651522388059702
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.8min.int.csv",1,20,480,0.124675324675325,0.614985163204748
"auc_meandetectionprobSampled_20_Intervals.TempSunMoonBoomDetections.9min.int.csv",1,20,540,0.116883116883117,0.5
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.10min.int.csv",1,24,600,0.114718614718615,0.697352032107764
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.11min.int.csv",1,24,660,0.145021645021645,0.67574154543737
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.12min.int.csv",1,24,720,0.158008658008658,0.70213402824242
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.13min.int.csv",1,24,780,0.158008658008658,0.684966721836814
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.14min.int.csv",1,24,840,0.149350649350649,0.678393627613674
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.15min.int.csv",1,24,900,0.153679653679654,0.646014192572314
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.16min.int.csv",1,24,960,0.175324675324675,0.650643206636208
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.17min.int.csv",1,24,1020,0.142857142857143,0.670684113865932
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.18min.int.csv",1,24,1080,0.147186147186147,0.665198566736339
"auc_meandetectionprobSampled_24_Intervals.TempSunMoonBoomDetections.19min.int.csv",1,24,1140,0.147186147186147,0.694796954314721
